                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0849,                 5.0584,                0.69992,                  3.046,                 2.2413,                0.81892,                0.77213,                0.83073,                0.65693,                0.13977,                 0.2561,                0.08154,                0.00866,                0.79881,                 4.8867,                0.63622,                 1.0934,                 1.1764,                 0.0002,                 0.0002,                 0.0002
                      1,                0.89818,                  4.189,                0.67875,                 0.9029,                 1.1895,                0.86162,                0.84146,                0.90927,                 0.7492,                0.40196,                0.39024,                0.26788,                0.04756,                  0.697,                 4.2106,                0.59742,                0.97954,                 1.0965,             0.00041168,             0.00041168,             0.00041168
                      2,                0.84153,                 3.3165,                0.67853,                 0.7673,                 1.1477,                0.83146,                0.90244,                0.86228,                0.65415,                0.70787,                0.76829,                0.65591,                0.19812,                0.80878,                 3.1231,                0.64364,                 3.5906,                 1.1727,             0.00061466,             0.00061466,             0.00061466
                      3,                0.88789,                 2.5081,                0.66958,                0.73495,                 1.1659,                0.56866,                0.90035,                0.65844,                0.37189,                0.55414,                0.74269,                0.56935,                0.28829,                 1.3411,                 2.8925,                0.60916,                 4.2182,                  1.689,             0.00080892,             0.00080892,             0.00080892
                      4,                0.94526,                 2.1446,                 0.6414,                0.79639,                 1.1934,                0.31963,                0.65854,                0.47739,                0.25992,                0.36038,                 0.7439,                0.50896,                0.22636,                 1.5751,                 2.9039,                 0.4634,                 4.8301,                 1.8716,             0.00099446,             0.00099446,             0.00099446
                      5,                0.89999,                 1.8684,                0.61691,                0.75895,                 1.1432,                0.36671,                0.43902,                0.35087,                0.16113,                0.48641,                0.56098,                0.44716,                0.15382,                 2.1147,                 3.2379,                0.46054,                 2.5115,                 2.1893,              0.0011713,              0.0011713,              0.0011713
                      6,                0.89623,                 1.5525,                0.61514,                0.75411,                 1.1402,                0.54586,                0.60976,                0.61036,                0.29588,                0.52318,                0.53659,                0.50401,                0.17193,                 1.5529,                  3.185,                0.38465,                 3.3316,                 1.8266,              0.0013394,              0.0013394,              0.0013394
                      7,                 1.0146,                  1.868,                0.61242,                0.82158,                 1.2075,                0.37554,                0.45122,                0.36353,                0.18307,                0.33034,                0.36585,                0.29141,                0.10497,                 2.0014,                 4.4867,                0.33483,                 3.4763,                  2.179,              0.0014988,              0.0014988,              0.0014988
                      8,                0.91241,                 1.6824,                0.58029,                0.75447,                 1.1648,                0.58405,                 0.5122,                0.54331,                0.26779,                 0.4927,                0.40244,                0.36758,                0.10291,                 1.7926,                 4.2228,                0.32847,                 2.4177,                 2.2818,              0.0016495,              0.0016495,              0.0016495
                      9,                0.90155,                 1.3485,                0.57509,                0.71253,                 1.1516,                 0.4163,                0.47561,                0.37446,                0.17817,                0.42861,                0.23171,                0.24547,                0.10648,                 1.9381,                 4.1367,                0.34459,                 1.8209,                 2.0206,              0.0016436,              0.0016436,              0.0016436
                     10,                0.95314,                 1.3885,                0.55763,                0.73529,                 1.1711,                0.48647,                0.56098,                0.51008,                0.33604,                0.57362,                0.39024,                0.45939,                0.27935,                 1.2247,                 2.7903,                0.32702,                 2.1768,                 1.4817,              0.0016436,              0.0016436,              0.0016436
                     11,                0.89463,                 1.4655,                0.56234,                0.70333,                 1.1611,                0.68074,                0.63415,                0.65721,                0.44075,                0.61258,                0.58537,                0.56675,                0.31305,                 1.1382,                 2.5794,                0.35456,                 1.6924,                 1.4199,               0.001604,               0.001604,               0.001604
                     12,                 0.7991,                 1.3671,                 0.5442,                 0.6777,                 1.0933,                0.84903,                0.76829,                0.85907,                 0.6161,                0.78507,                0.71276,                0.77657,                0.51712,                0.95305,                 2.2609,                0.31927,                 1.2905,                 1.2543,              0.0015644,              0.0015644,              0.0015644
                     13,                0.86986,                 1.4218,                0.55201,                 0.6769,                 1.1248,                0.94565,                0.84884,                0.94583,                0.69629,                0.91839,                0.82351,                0.90983,                0.53857,                0.87214,                 1.6818,                0.25951,                0.97915,                 1.2957,              0.0015248,              0.0015248,              0.0015248
                     14,                 0.8684,                 1.3241,                0.53925,                0.67534,                 1.1105,                0.92222,                0.86753,                0.93988,                0.74118,                0.90532,                0.85366,                 0.8812,                0.59961,                0.76035,                 1.2723,                0.23575,                0.76209,                 1.2008,              0.0014852,              0.0014852,              0.0014852
                     15,                0.78276,                 1.0634,                0.51799,                0.60006,                 1.0766,                0.97294,                0.87707,                 0.9631,                0.75213,                0.91824,                0.82179,                0.90653,                0.68634,                0.79087,                 1.3259,                0.19617,                0.81242,                 1.2084,              0.0014456,              0.0014456,              0.0014456
                     16,                0.77929,                 1.2451,                0.52616,                 0.6182,                 1.0615,                0.83819,                0.95122,                0.94133,                0.77558,                0.83819,                0.95122,                0.93764,                0.71651,                 0.7039,                 1.0841,                0.22124,                0.78352,                 1.1088,               0.001406,               0.001406,               0.001406
                     17,                0.73605,                 1.0239,                0.51295,                0.61611,                 1.0618,                0.94994,                0.92558,                0.98419,                0.79777,                0.89899,                0.87805,                0.91763,                0.71317,                  0.732,                  1.071,                0.23318,                 0.6626,                 1.0737,              0.0013664,              0.0013664,              0.0013664
                     18,                0.79049,                 1.0004,                0.50318,                0.64332,                 1.0795,                0.95725,                0.96341,                0.97844,                0.79167,                0.96236,                0.93542,                 0.9759,                0.83032,                0.67874,                0.84682,                0.24767,                0.60753,                 1.0723,              0.0013268,              0.0013268,              0.0013268
                     19,                0.78141,                0.87511,                0.52308,                 0.6176,                 1.1066,                 0.9401,                0.95705,                0.98642,                0.81715,                0.92812,                0.94486,                0.97266,                0.82415,                0.69811,                0.82027,                0.23013,                0.60708,                 1.0878,              0.0012872,              0.0012872,              0.0012872
                     20,                0.74408,                0.79973,                0.49561,                0.58827,                 1.0679,                0.97428,                0.92397,                0.97654,                0.78298,                0.96146,                0.91268,                0.96246,                0.83061,                0.73655,                0.76167,                0.23929,                0.63538,                 1.1086,              0.0012476,              0.0012476,              0.0012476
                     21,                0.77173,                0.94872,                 0.4967,                0.62321,                 1.0928,                0.91891,                0.92683,                0.97089,                0.81669,                0.94393,                0.95122,                0.98729,                 0.8323,                0.62679,                0.61776,                0.20195,                0.63546,                 1.0264,               0.001208,               0.001208,               0.001208
                     22,                0.72165,                0.78753,                0.47423,                0.56206,                 1.0457,                0.94271,                0.91463,                0.96447,                0.83261,                0.94271,                0.91463,                0.96134,                 0.8082,                0.56783,                0.53623,                0.20167,                0.64614,                0.98968,              0.0011684,              0.0011684,              0.0011684
                     23,                0.71005,                0.81385,                0.46943,                0.56341,                 1.0458,                0.95231,                0.97414,                0.97839,                0.83938,                0.94039,                0.96194,                0.95809,                0.86128,                0.61288,                0.48564,                 0.2055,                0.61964,                 1.0359,              0.0011288,              0.0011288,              0.0011288
                     24,                0.72636,                0.77535,                0.47569,                0.56961,                 1.0626,                0.95513,                0.95122,                0.98275,                0.86076,                0.97469,                0.93911,                 0.9742,                0.87212,                0.55449,                0.48146,                0.20038,                0.51328,                 1.0177,              0.0010892,              0.0010892,              0.0010892
                     25,                0.68601,                0.69526,                0.46398,                0.54307,                 1.0472,                0.98642,                0.96341,                0.98346,                0.88108,                0.98642,                0.96341,                 0.9825,                0.90067,                0.53719,                0.40007,                0.18195,                0.39866,                0.98768,              0.0010496,              0.0010496,              0.0010496
                     26,                0.70611,                0.71957,                0.44031,                0.55846,                  1.066,                0.99873,                0.97561,                0.99051,                0.89092,                0.99873,                0.97561,                0.98244,                0.91392,                0.50933,                0.42678,                0.18413,                0.36694,                0.95802,                0.00101,                0.00101,                0.00101
                     27,                0.63622,                0.71908,                0.45248,                0.52577,                 1.0157,                0.97615,                0.99814,                0.99464,                0.89132,                0.97615,                0.99814,                0.99464,                0.93021,                0.51065,                  0.352,                 0.1867,                0.35973,                0.97179,              0.0009704,              0.0009704,              0.0009704
                     28,                0.65047,                0.65436,                0.44605,                0.53405,                 1.0361,                0.99779,                 0.9878,                0.99476,                0.89399,                0.98547,                0.97561,                0.98108,                 0.9316,                0.48667,                0.34819,                0.20249,                0.35242,                0.94532,              0.0009308,              0.0009308,              0.0009308
                     29,                0.68104,                0.72502,                0.44706,                0.53712,                 1.0451,                 0.9862,                 0.9878,                0.99318,                0.88982,                0.97403,                0.97561,                0.98283,                 0.9365,                0.48207,                0.48199,                0.19187,                0.36572,                0.93853,              0.0008912,              0.0008912,              0.0008912
                     30,                0.63312,                 0.6593,                0.43957,                0.51033,                 1.0087,                      1,                0.99882,                  0.995,                0.90736,                0.98568,                0.97561,                0.98755,                0.94062,                0.46237,                0.40065,                0.19052,                0.36004,                0.93473,              0.0008516,              0.0008516,              0.0008516
                     31,                0.61361,                0.60649,                0.42001,                0.48867,                0.99685,                0.99924,                 0.9878,                0.99465,                0.90151,                0.99924,                 0.9878,                 0.9863,                0.94934,                0.45397,                0.35332,                0.18002,                0.35606,                0.93332,               0.000812,               0.000812,               0.000812
                     32,                0.56326,                0.56276,                0.42775,                 0.4612,                0.98044,                0.99653,                0.96341,                 0.9914,                0.90006,                0.99653,                0.96341,                0.98332,                0.94687,                0.46885,                0.35124,                0.18063,                0.35987,                0.93881,              0.0007724,              0.0007724,              0.0007724
                     33,                0.58433,                0.56201,                0.43564,                 0.4852,                 1.0033,                0.98764,                0.97452,                0.98622,                 0.8991,                0.98764,                0.97452,                0.97927,                0.95381,                0.46192,                 0.3179,                0.18163,                0.36144,                0.93825,              0.0007328,              0.0007328,              0.0007328
                     34,                 0.5707,                0.56521,                0.41822,                 0.4747,                0.98193,                0.99674,                0.97561,                0.99245,                0.90213,                0.99674,                0.97561,                0.98225,                0.94408,                0.48026,                0.35693,                0.19718,                0.37732,                0.94756,              0.0006932,              0.0006932,              0.0006932
                     35,                0.58924,                0.61533,                0.42482,                 0.4712,                0.99852,                      1,                0.98691,                0.98896,                 0.9068,                0.99898,                0.97561,                 0.9799,                0.95101,                 0.4465,                0.28263,                0.19553,                0.35388,                0.93568,              0.0006536,              0.0006536,              0.0006536
                     36,                0.59074,                0.53642,                0.41082,                0.46988,                0.99911,                      1,                0.98711,                0.99372,                0.91129,                 0.9989,                0.97561,                  0.985,                0.95941,                0.42147,                0.25012,                0.18838,                0.32319,                0.92051,               0.000614,               0.000614,               0.000614
                     37,                 0.5728,                0.44235,                0.39562,                0.46191,                0.98528,                      1,                0.99862,                  0.995,                0.92033,                0.99864,                 0.9878,                0.98702,                0.96306,                 0.4071,                0.25409,                0.17298,                0.30133,                0.91013,              0.0005744,              0.0005744,              0.0005744
                     38,                0.54881,                0.50138,                0.40652,                0.45484,                0.98453,                      1,                0.99925,                  0.995,                0.93165,                0.99883,                 0.9878,                 0.9885,                0.96516,                0.39761,                0.24228,                 0.1783,                0.27816,                0.89649,              0.0005348,              0.0005348,              0.0005348
                     39,                0.55446,                0.44807,                0.38743,                 0.4557,                0.98059,                      1,                0.99949,                  0.995,                0.91761,                0.99863,                 0.9878,                0.98913,                0.96159,                0.44976,                0.23345,                0.18119,                0.29201,                0.91775,              0.0004952,              0.0004952,              0.0004952
                     40,                0.41452,                 0.2622,                0.25835,                0.36237,                0.91817,                0.97619,                0.99999,                0.99464,                0.91092,                0.98761,                 0.9878,                0.99308,                0.96256,                0.44631,                0.23726,                0.17084,                0.28579,                0.91027,              0.0004556,              0.0004556,              0.0004556
                     41,                0.38731,                0.27508,                0.20075,                0.31849,                0.89925,                0.97617,                0.99916,                0.99366,                0.92012,                0.97617,                0.99916,                 0.9944,                0.95643,                0.43175,                0.25318,                0.13941,                0.29349,                0.90078,               0.000416,               0.000416,               0.000416
                     42,                0.35502,                0.23585,                0.18727,                0.29041,                0.87486,                 0.9639,                      1,                0.99368,                0.92417,                 0.9639,                      1,                0.99417,                0.96335,                0.40556,                0.22582,                0.13316,                0.31003,                0.88492,              0.0003764,              0.0003764,              0.0003764
                     43,                0.37055,                0.22747,                0.18619,                 0.2868,                0.88804,                0.98794,                 0.9988,                0.99428,                0.93157,                0.98794,                 0.9988,                0.99476,                0.97174,                 0.3775,                0.22562,                0.13693,                0.28717,                0.87944,              0.0003368,              0.0003368,              0.0003368
                     44,                0.36254,                0.22159,                0.20195,                0.27984,                0.88032,                0.98685,                 0.9878,                0.99415,                0.93091,                0.98685,                 0.9878,                0.99464,                 0.9758,                0.37696,                0.23401,                0.13312,                0.28746,                0.88315,              0.0002972,              0.0002972,              0.0002972
                     45,                0.33708,                0.19858,                0.18767,                0.26474,                0.86365,                0.97619,                0.99984,                0.99452,                0.94789,                0.97619,                0.99984,                0.99452,                  0.977,                0.35962,                 0.2061,                0.12356,                0.26495,                0.87038,              0.0002576,              0.0002576,              0.0002576
                     46,                0.31787,                0.16692,                0.17476,                0.25565,                0.86582,                0.98689,                      1,                0.99476,                0.95582,                0.98689,                      1,                0.99476,                  0.972,                0.34316,                0.18609,                0.11841,                0.25944,                0.86331,               0.000218,               0.000218,               0.000218
                     47,                0.32146,                0.18982,                0.21819,                0.26597,                0.85636,                0.98647,                      1,                0.99488,                 0.9524,                0.98647,                      1,                0.99488,                0.97351,                0.34499,                0.16372,                 0.1168,                0.24458,                0.86442,              0.0001784,              0.0001784,              0.0001784
                     48,                0.31952,                0.16915,                0.20418,                0.25048,                0.86617,                 0.9994,                      1,                  0.995,                  0.953,                 0.9994,                      1,                  0.995,                0.97574,                0.34465,                0.15718,                0.11448,                0.23636,                0.86571,              0.0001388,              0.0001388,              0.0001388
                     49,                0.29602,                0.15729,                0.17223,                0.24704,                0.85878,                0.99943,                      1,                  0.995,                0.95921,                0.99943,                      1,                  0.995,                 0.9775,                0.34669,                0.15562,                0.10865,                0.23063,                0.86856,               9.92e-05,               9.92e-05,               9.92e-05
